#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0980
#BOTTOM:,333.7017
DEPTH_WMSF,TENS,CS,ETIM
m,lbf,m/h,s
98.3960,1948.017,491.3401,862.7475
98.5484,1950,495.6045,863.7844
98.7008,1984.982,500.4791,864.8277
98.8532,2188.971,504.7482,865.8714
99.0056,1984.118,505.3581,866.9229
99.1580,1872.023,503.2252,867.9763
99.3104,2002.917,505.0524,869.0298
99.4628,1950.014,516.3282,870.0842
99.6152,1922.016,523.6467,871.1046
99.7676,2081.947,526.3887,872.1566
99.9200,2130.997,530.0471,873.2086
100.0724,2057.029,527.3051,874.261
100.2248,2130.998,528.5232,875.2985
100.3772,2015.053,528.5232,876.3355
100.5296,1948.006,526.3898,877.3889
100.6820,1966.99,523.9525,878.4404
100.8344,2061.986,524.2559,879.4933
100.9868,1875.109,524.5606,880.5289
101.1392,1892.996,524.5608,881.5837
101.2916,1959.957,525.4746,882.6203
101.4440,2087.965,527.9129,883.6392
101.5964,2099.992,530.6567,884.6911
101.7488,2020.027,529.7427,885.7256
101.9012,1903,523.0368,886.7791
102.0536,1916.994,523.6462,887.8321
102.2060,1979.998,525.78,888.869
102.3584,1981,525.1707,889.921
102.5109,1936.004,525.4752,890.9568
102.6633,1891.024,525.1706,892.009
102.8157,1859.005,524.5609,893.0623
102.9681,1952.945,523.9515,894.0994
103.1205,2034.982,524.5607,895.1362
103.2729,1960.049,525.17,896.1878
103.4253,1924.01,526.0845,897.2227
103.5777,2111.001,528.5232,898.2581
103.7301,2121.996,528.8279,899.3112
103.8825,2018.998,528.5231,900.3495
104.0349,1949.028,526.6951,901.4031
104.1873,1962,521.513,902.4404
104.3397,2027.969,523.6454,903.492
104.4921,1984.004,524.2559,904.5434
104.6445,1889.051,525.4745,905.5779
104.7969,2053.973,526.6942,906.6143
