#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0980
#BOTTOM:,322.4241
DEPTH_WMSF,GR,ECGR
m,gAPI,gAPI
101.1392,36.4063,37.83618
101.2916,39.03388,40.56696
101.4440,35.48394,36.87759
101.5964,37.63456,39.11267
101.7488,35.24455,36.6288
101.9012,36.76929,38.21342
102.0536,35.3203,36.70752
102.2060,35.55814,36.95471
102.3584,37.18179,38.64213
102.5109,36.72385,38.1662
102.6633,33.97766,35.31216
102.8157,34.45301,35.80618
102.9681,33.97628,35.31072
103.1205,38.54708,40.06104
103.2729,33.06768,34.36643
103.4253,30.91401,32.12818
103.5777,27.6134,28.69793
103.7301,28.80505,29.93638
103.8825,34.42917,35.78139
104.0349,38.77115,40.29391
104.1873,41.15716,42.77363
104.3397,38.36711,39.87399
104.4921,34.06739,35.4054
104.6445,33.35204,34.66195
104.7969,35.89516,37.30497
104.9493,35.41899,36.8101
105.1017,34.70357,36.06657
105.2541,29.61999,30.78333
105.4065,31.29389,32.52297
105.5589,35.57524,36.97248
105.7113,41.71788,43.35638
105.8637,45.52937,47.31757
106.0161,44.11081,45.84328
106.1685,41.26797,42.88879
106.3209,38.64632,40.16418
106.4733,38.8075,40.33168
106.6257,39.74193,41.30281
106.7781,38.07368,39.56905
106.9305,37.19618,38.65708
107.0829,39.82162,41.38563
107.2353,40.08026,41.65443
107.3877,45.8002,47.59903
107.5401,44.36765,46.11021
107.6925,46.73873,48.57442
107.8449,40.3077,41.89081
107.9973,41.99578,43.64518
108.1497,40.78576,42.38763
108.3021,41.86362,43.50784
108.4545,42.08279,43.73561
108.6069,41.37994,43.00516
108.7593,42.44781,44.11497
108.9117,35.10663,36.48546
109.0641,33.6719,34.99438
109.2165,33.11246,34.41298
109.3689,37.59518,39.07175
109.5213,37.83485,39.32084
109.6737,36.05488,37.47095
109.8261,34.14675,35.48788
109.9785,32.9551,34.24943
110.1309,34.49459,35.84939
110.2833,34.733,36.09716
110.4357,35.92514,37.33612
110.5881,32.84988,34.14007
110.7405,31.17945,32.40404
110.8929,30.38739,31.58087
111.0453,29.2507,30.39953
111.1977,29.72725,30.89481
111.3501,29.47297,30.63054
111.5025,29.94999,31.12629
111.6549,33.76328,35.08935
111.8073,36.05422,37.47027
111.9597,37.48421,38.95642
112.1121,34.39043,35.74113
112.2645,36.48434,37.91729
112.4169,42.84724,44.53009
112.5693,46.18582,47.99979
112.7217,45.1103,46.88203
112.8741,43.03316,44.72331
113.0265,44.93226,46.697
113.1789,46.96019,48.80457
113.3313,46.25256,48.06915
113.4837,46.55844,48.38704
113.6361,47.04627,48.89404
113.7885,45.61587,47.40746
113.9409,46.26322,48.08023
114.0933,44.51125,46.25945
114.2457,46.68378,48.51731
114.3981,45.01607,46.7841
114.5505,48.90455,50.8253
114.7029,49.84027,51.79777
114.8553,47.81701,49.69505
115.0077,43.66465,45.3796
115.1601,41.74839,43.38808
115.3125,42.7518,44.4309
115.4649,46.18887,48.00296
115.6173,43.36366,45.06679
115.7697,43.87846,45.60181
115.9221,42.21018,43.86801
116.0745,46.01714,47.82448
116.2269,50.3399,52.31703
116.3793,48.83575,50.7538
116.5317,50.95236,52.95354
116.6841,51.98098,54.02256
116.8365,53.00561,55.08743
116.9889,47.2854,49.14256
117.1413,41.15477,42.77114
117.2937,44.49604,46.24364
117.4461,49.63567,51.58513
117.5985,47.86355,49.74342
117.7509,44.51272,46.26098
117.9033,43.18959,44.88588
118.0557,43.95819,45.68467
118.2081,41.34899,42.973
118.3605,40.3819,41.96792
118.5129,39.80661,41.37003
118.6653,35.80774,37.2141
118.8177,31.99345,33.25001
118.9701,31.74693,32.99381
119.1225,36.3154,37.74171
119.2749,37.8411,39.32733
119.4273,37.37051,38.83825
119.5797,39.66553,41.22341
119.7321,40.67712,42.27474
119.8845,44.02071,45.74965
120.0369,40.7095,42.30839
120.1893,38.93623,40.46547
120.3417,36.12434,37.54314
120.4941,38.71633,40.23694
120.6465,40.24388,41.82447
120.7989,41.61153,43.24585
120.9513,41.05892,42.67154
121.1037,42.59731,44.27034
121.2561,43.00437,44.69339
121.4085,42.9974,44.68614
121.5609,37.39103,38.85959
121.7133,36.27261,37.69723
121.8657,35.00818,36.38314
122.0181,40.37738,41.96323
122.1705,40.22224,41.80199
122.3229,39.2106,40.75062
122.4753,35.39777,36.78804
122.6277,33.60424,34.92406
122.7801,34.30027,35.64743
122.9325,34.26576,35.61157
123.0849,34.78536,36.15157
123.2373,33.5879,34.90708
123.3897,35.62806,37.02737
123.5421,34.19522,35.53825
123.6945,38.49825,40.01029
123.8469,35.95574,37.36792
123.9993,37.89655,39.38496
124.1517,33.83357,35.16241
124.3041,36.04379,37.45943
124.4565,34.77831,36.14425
124.6089,36.29346,37.71891
124.7613,36.04947,37.46533
124.9137,36.0388,37.45424
125.0661,35.28838,36.67435
125.2185,32.66674,33.94974
125.3709,32.67113,33.95432
125.5233,33.68167,35.00454
125.6757,35.59493,36.99294
125.8281,33.30242,34.61039
125.9805,30.5758,31.77668
126.1329,28.29585,29.40718
126.2853,29.44544,30.60192
126.4377,28.62191,29.74605
126.5901,28.10855,29.21253
126.7425,25.95823,26.97775
126.8949,27.22481,28.29408
127.0473,32.06782,33.3273
127.1997,36.35777,37.78574
127.3521,40.42213,42.00973
127.5045,36.09932,37.51714
127.6569,36.33588,37.76299
127.8093,31.5123,32.74997
127.9617,34.73398,36.09818
128.1141,33.49788,34.81353
128.2665,34.29442,35.64135
128.4189,31.58554,32.82607
