#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,1.3271
#BOTTOM:,748.5446
DEPTH_LSF,BPHI,TNPH
m,%,%
126.6000,64.1557,69.3638
126.7524,57.9151,57.2345
126.9048,60.9381,63.1319
127.0572,55.2708,53.4339
127.2096,63.3667,67.7130
127.3620,58.9108,58.4106
127.5144,55.9025,53.4477
127.6668,64.4708,71.2465
127.8192,60.2347,63.2587
127.9716,58.1420,59.6283
128.1240,58.8099,61.1416
128.2764,54.8959,53.8929
128.4288,59.7193,62.4990
128.5812,58.3482,59.5396
128.7336,63.8626,68.5532
128.8860,63.1369,66.0538
129.0384,59.3694,58.0960
129.1908,55.6395,51.8410
129.3432,61.0217,60.3688
129.4956,69.7275,77.7894
129.6480,64.4877,66.2791
129.8004,65.2253,68.0508
129.9528,62.9018,63.5906
130.1052,64.3124,66.7742
130.2576,61.8831,62.5933
130.4100,65.6434,69.6916
130.5624,61.8161,61.9045
130.7148,73.2426,86.9241
130.8672,73.3855,86.3995
131.0196,67.2370,69.7095
131.1720,64.0817,62.1269
131.3244,69.7437,71.7411
131.4768,69.8642,70.2108
131.6292,70.5664,68.9353
131.7816,73.4822,75.9578
131.9340,75.9759,81.3548
132.0864,60.6078,53.1973
132.2388,71.7925,73.9562
132.3912,64.9566,62.9481
132.5436,69.4443,72.7960
132.6960,65.8481,66.9960
132.8484,70.6756,79.2822
133.0008,66.8481,70.4087
133.1532,56.3234,51.7784
133.3056,62.8662,64.5354
133.4580,61.8380,64.1690
133.6104,55.7236,52.7729
133.7628,61.2030,62.3631
133.9152,69.7663,82.1474
134.0676,62.9683,66.6328
134.2200,54.7877,51.3326
134.3724,63.0605,65.9104
134.5248,60.7832,60.9792
134.6772,64.7301,67.4716
134.8296,66.3144,71.1535
134.9820,60.6549,60.0294
135.1344,58.6372,57.3506
135.2868,60.0201,59.9668
135.4392,59.1512,58.5198
135.5916,65.9587,71.6542
135.7440,67.7896,75.6988
135.8964,63.4470,65.6801
136.0488,64.4634,67.4081
136.2012,57.6141,55.3500
136.3536,66.5802,74.1181
136.5060,54.1561,51.6245
136.6584,55.1718,53.5192
136.8108,59.2272,60.4085
136.9632,64.6580,70.6951
137.1156,65.5984,72.8106
137.2680,61.8151,64.3982
137.4204,61.8154,64.4999
137.5728,59.5593,60.3441
137.7252,57.4588,56.4452
137.8776,55.9415,54.0625
138.0300,62.5199,65.9842
138.1824,59.3714,60.2328
138.3348,61.2473,63.0159
138.4872,60.7721,61.0564
138.6396,61.3738,61.0277
138.7920,60.0959,57.9419
