#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0980
#BOTTOM:,323.4909
DEPTH_WMSF,HSGR,HCGR,HFK,HTHO,HURA,HBHK
m,gAPI,gAPI,%,ppm,ppm,%
38.8076,3.078013,2.52601,0.06861972,0.4078466,0.02043965,-999.25
38.9600,3.696967,2.959891,0.0814254,0.4719338,0.0359018,-999.25
39.1124,4.044661,3.394475,0.07307369,0.6601149,0.0531466,-999.25
39.2648,4.654169,3.499029,0.05417958,0.8042433,0.1157106,-999.25
39.4172,4.615861,3.703047,0.0668982,0.7951683,0.09274247,-999.25
39.5696,5.25613,3.893979,0.08103093,0.7736204,0.1571998,-999.25
39.7220,4.712365,3.250609,0.07173625,0.621836,0.1794415,-999.25
39.8744,4.262151,3.376141,0.08803108,0.5666688,0.1087396,-999.25
40.0268,3.1808,2.480793,0.07020618,0.3840667,0.09195306,-999.25
40.1792,3.279991,2.607045,0.06869452,0.4333807,0.09733423,-999.25
40.3316,3.589075,2.701157,0.06862312,0.463962,0.1407096,-999.25
40.4840,4.342416,3.638037,0.07681169,0.7162924,0.1310803,-999.25
40.6364,4.082212,3.137316,0.05968782,0.6560645,0.1735098,-999.25
40.7888,3.714623,2.483767,0.05769741,0.4582539,0.1944142,-999.25
40.9412,2.841524,1.809164,0.05329349,0.2678257,0.1427522,-999.25
41.0936,3.180771,1.830655,0.05751029,0.2500258,0.1921862,-999.25
41.2460,3.620202,2.577265,0.06362053,0.4535426,0.1551836,-999.25
41.3984,4.26088,3.275731,0.07559468,0.6072979,0.148418,-999.25
41.5508,4.274048,3.314322,0.06910779,0.6576449,0.1255513,-999.25
41.7032,3.577554,2.936857,0.05155261,0.6394461,0.07333464,-999.25
41.8556,3.347451,2.177179,0.04221968,0.4506086,0.1517266,-999.25
42.0080,2.772055,1.693437,0.03540367,0.3354737,0.1238731,-999.25
42.1604,2.975331,1.68168,0.04238399,0.2908383,0.1636106,-999.25
42.3128,2.671855,1.630233,0.04394758,0.2651953,0.1167812,-999.25
42.4652,2.897968,2.118625,0.06397685,0.3044613,0.06914019,-999.25
42.6176,2.861228,2.46276,0.07108495,0.3731419,0.016834,-999.25
42.7700,2.863808,2.906766,0.08116118,0.4564539,-0.06373414,-999.25
42.9224,2.7386,2.439171,0.0677802,0.3849298,-0.03187997,-999.25
43.0748,2.935681,2.572662,0.07038102,0.412487,-0.02077802,-999.25
