#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.0129
#BOTTOM:,204.3508
DEPTH_LSF,GR_RAB
m,gAPI
32.6570,76.73454
32.6875,76.31606
32.7180,75.89778
32.7484,75.4795
32.7789,75.3676
32.8094,75.25553
32.8399,75.14363
32.8704,75.03178
32.9008,74.92
32.9313,75.08035
32.9618,75.24094
32.9923,75.40128
33.0228,75.56155
33.0532,75.72202
33.0837,76.29994
33.1142,76.87876
33.1447,77.45668
33.1752,78.03435
33.2056,78.6123
33.2361,79.48467
33.2666,80.35492
33.2971,81.22555
33.3276,82.09579
33.3580,82.96751
33.3885,83.50449
33.4190,84.04124
33.4495,84.57821
33.4800,85.11495
33.5104,85.6515
33.5409,85.36323
33.5714,85.07508
33.6019,84.7868
33.6324,84.49808
33.6628,84.2096
33.6933,83.80567
33.7238,83.40192
33.7543,82.998
33.7848,82.59344
33.8152,82.18999
33.8457,82.1076
33.8762,82.02525
33.9067,81.94286
33.9372,81.86034
33.9676,81.77805
33.9981,81.75911
34.0286,81.74018
34.0591,81.72125
34.0896,81.70229
34.1200,81.68356
34.1505,81.84681
34.1810,82.00999
34.2115,82.17355
34.2420,82.33672
34.2724,82.50001
34.3029,82.70931
34.3334,82.91852
34.3639,83.12824
34.3944,83.33745
34.4248,83.54661
34.4553,83.59505
34.4858,83.64357
34.5163,83.69201
34.5468,83.74043
34.5772,83.78894
34.6077,83.91312
34.6382,84.03749
34.6687,84.16167
34.6992,84.28579
34.7296,84.40984
34.7601,84.30817
34.7906,84.20635
34.8211,84.10469
34.8516,84.00307
34.8820,83.90128
34.9125,83.46596
34.9430,83.02996
34.9735,82.59466
35.0040,82.15953
35.0344,81.72424
35.0649,81.40018
35.0954,81.0769
35.1259,80.75349
35.1564,80.43021
35.1868,80.1068
35.2173,79.78889
35.2478,79.47176
35.2783,79.15448
35.3088,78.83735
35.3392,78.52029
35.3697,78.64259
35.4002,78.76485
35.4307,78.88715
35.4612,79.0094
35.4916,79.13267
35.5221,79.66272
35.5526,80.19254
35.5831,80.72259
35.6136,81.25347
35.6440,81.78295
35.6745,81.95582
35.7050,82.1286
35.7355,82.30146
35.7660,82.47459
35.7964,82.64697
35.8269,82.47922
35.8574,82.31155
35.8879,82.1438
35.9184,81.97579
35.9488,81.80809
35.9793,81.67053
36.0098,81.53304
36.0403,81.39548
36.0708,81.25771
36.1012,81.12076
36.1317,81.50558
36.1622,81.89024
36.1927,82.27583
36.2232,82.66048
36.2536,83.04529
36.2841,83.40965
36.3146,83.77384
36.3451,84.13892
36.3756,84.50311
36.4060,84.86722
36.4365,84.92658
36.4670,84.98603
36.4975,85.04539
36.5280,85.10473
36.5584,85.16404
36.5889,85.15298
36.6194,85.14191
36.6499,85.13087
36.6804,85.11981
36.7108,85.10891
36.7413,85.39774
36.7718,85.68701
36.8023,85.97584
36.8328,86.26453
36.8632,86.55328
36.8937,86.61448
36.9242,86.67577
36.9547,86.73698
36.9852,86.79815
37.0156,86.8592
37.0461,86.10011
37.0766,85.34287
37.1071,84.5853
37.1376,83.82807
37.1680,83.07053
37.1985,83.2459
37.2290,83.42083
37.2595,83.59585
37.2900,83.77078
37.3204,83.94741
37.3509,84.79587
37.3814,85.64395
37.4119,86.4924
37.4424,87.34218
37.4728,88.18933
37.5033,88.28042
37.5338,88.37147
37.5643,88.46255
37.5948,88.55378
37.6252,88.64372
37.6557,87.99996
37.6862,87.35648
37.7167,86.71272
37.7472,86.06796
37.7776,85.42434
37.8081,84.8819
