#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.0165
#BOTTOM:,756.3170
DEPTH_LSF,GR_RAB
m,gAPI
36.9887,84.90295
37.0192,85.12775
37.0497,85.35114
37.0802,85.57591
37.1107,85.7993
37.1411,86.02405
37.1716,86.20625
37.2021,86.39024
37.2326,86.57245
37.2631,86.75644
37.2935,86.93866
37.3240,87.10076
37.3545,87.26175
37.3850,87.42374
37.4155,87.58601
37.4459,87.74672
37.4764,87.91484
37.5069,88.08195
37.5374,88.25009
37.5679,88.41721
37.5983,88.58535
37.6288,88.55289
37.6593,88.52027
37.6898,88.48745
37.7203,88.45484
37.7507,88.42198
37.7812,87.9278
37.8117,87.42876
37.8422,86.93456
37.8727,86.43553
37.9031,85.94132
37.9336,85.07095
37.9641,84.19677
37.9946,83.33106
38.0251,82.45689
38.0555,81.59118
38.0860,80.97784
38.1165,80.36939
38.1470,79.75715
38.1775,79.1487
38.2079,78.53647
38.2384,78.85629
38.2689,79.17635
38.2994,79.49841
38.3299,79.81847
38.3603,80.14053
38.3908,81.04706
38.4213,81.96278
38.4518,82.87694
38.4823,83.78541
38.5127,84.69904
38.5432,85.22311
38.5737,85.75232
38.6042,86.27641
38.6347,86.8056
38.6651,87.32969
38.6956,87.11135
38.7261,86.89078
38.7566,86.66882
38.7871,86.44824
38.8175,86.2263
38.8480,85.73892
38.8785,85.25378
38.9090,84.76563
38.9395,84.28049
38.9699,83.79233
39.0004,83.48033
39.0309,83.17046
39.0614,82.85867
39.0919,82.54881
39.1223,82.23715
39.1528,82.12359
39.1833,82.00892
39.2138,81.89536
39.2443,81.78069
39.2747,81.66713
39.3052,81.63827
39.3357,81.61005
39.3662,81.58166
39.3967,81.55322
39.4271,81.52505
39.4576,81.64577
39.4881,81.76629
39.5186,81.88756
39.5491,82.00807
39.5795,82.12933
39.6100,82.52332
39.6405,82.91536
39.6710,83.30983
39.7015,83.70187
39.7319,84.09634
39.7624,84.55705
39.7929,85.02229
39.8234,85.48301
39.8539,85.94822
39.8843,86.40896
39.9148,86.49917
39.9453,86.58726
39.9758,86.67448
40.0063,86.76257
40.0367,86.8498
40.0672,86.41379
40.0977,85.97826
40.1282,85.54002
40.1587,85.10448
40.1891,84.66625
40.2196,84.26933
40.2501,83.87496
40.2806,83.47813
40.3111,83.08377
40.3415,82.68695
40.3720,82.71928
40.4025,82.75218
40.4330,82.78503
