#HOLE:,U1517A,,
#EXPEDITION:,372,,
#TOP:,0.4396,,
#BOTTOM:,205.4176,,
DEPTH_LSF,DHAP,DHAT,ECD
m,psi,degC,g/cm3
97.366,1233.002122,11,1.284788
97.5184,1235.001906,11,1.29722
97.6708,1234.001869,11,1.287976
97.8232,1232.002665,11,1.27242
97.9756,1235.002196,11,1.291337
98.128,1235.002051,11,1.289009
98.2804,1234.002594,11,1.280585
98.4328,1239.002199,11,1.31266
98.5852,1238.002307,11,1.303705
98.7376,1236.002233,11,1.288235
98.89,1238.002162,11,1.299997
99.0424,1238.002307,11,1.297891
99.1948,1235.002631,11,1.275988
99.3472,1239.001764,11,1.300778
99.4996,1238.002017,11,1.292354
99.652,1237.00227,11,1.283658
99.8044,1238.002597,11,1.288315
99.9568,1240.002091,11,1.299932
100.1092,1239.002199,11,1.291643
100.2616,1239.002199,11,1.289533
100.414,1239.002199,11,1.288075
100.5664,1237.002125,11,1.272431
100.7188,1245.001986,11,1.323963
100.8712,1240.002526,11,1.288968
101.0236,1241.002128,11,1.293815
101.176,1243.002057,11,1.305059
101.3284,1240.002671,11,1.283544
101.4808,1243.002492,11,1.301201
101.6332,1244.001369,11,1.306226
101.7856,1239.002489,11,1.271115
101.938,1241.002273,11,1.282641
102.0904,1241.001983,11,1.280935
102.2428,1238.002452,11,1.259063
102.3952,1241.002273,11,1.276846
102.5476,1241.002273,11,1.27523
102.7,1239.002344,11,1.260322
102.8524,1240.002091,11,1.265225
103.0048,1240.002236,11,1.263163
103.1572,1241.002128,11,1.268159
103.3096,1240.002526,11,1.259609
103.462,1241.002128,11,1.264357
103.6144,1240.002381,11,1.256061
103.7668,1241.002563,11,1.260822
103.9192,1243.002347,11,1.27185
104.0716,1243.002202,11,1.270141
104.224,1242.002165,11,1.262093
104.3764,1243.002347,11,1.266682
104.5288,1242.002165,11,1.258487
104.6812,1244.002094,11,1.26955
104.8336,1246.002023,11,1.281021
104.986,1244.002529,11,1.266235
105.1384,1250.001301,11,1.302719
105.2908,1246.002893,11,1.275541
105.4432,1249.001264,11,1.292869
105.5956,1244.002674,11,1.259081
105.748,1247.00206,11,1.276639
105.9004,1245.002421,11,1.261971
106.0528,1247.00206,11,1.273029
106.2052,1243.002492,11,1.245855
106.3576,1246.002168,11,1.262917
106.51,1254.002029,11,1.312084
106.6624,1253.002282,11,1.303902
106.8148,1251.002498,11,1.289419
106.9672,1244.003109,11,1.243834
107.1196,1251.001193,11,1.285908
107.272,1250.001301,11,1.278027
107.4244,1246.002603,11,1.250912
107.5768,1248.003547,11,1.261762
107.7292,1256.001813,11,1.310175
107.8816,1251.002063,11,1.277323
108.034,1248.002532,11,1.256661
108.1864,1253.002137,11,1.28627
108.3388,1249.002279,11,1.259688
108.4912,1255.002066,11,1.295261
108.6436,1250.002461,11,1.263209
108.796,1254.001739,11,1.285493
108.9484,1247.00322,11,1.240329
109.1008,1249.001989,11,1.251379
109.2532,1253.002427,11,1.274145
109.4056,1254.002319,11,1.27899
109.558,1255.002211,11,1.282966
109.7104,1255.002066,11,1.28137
109.8628,1254.002029,11,1.273776
110.0152,1252.00239,11,1.259501
110.1676,1255.002211,11,1.276695
110.32,1256.002248,11,1.28056
110.4724,1257.002285,11,1.285135
110.6248,1257.002285,11,1.28339
110.7772,1252.002825,11,1.251184
110.9296,1254.001884,11,1.261816
111.082,1259.003664,11,1.290412
111.2344,1265.001421,11,1.325779
111.3868,1261.002433,11,1.299205
111.5392,1262.001745,11,1.30404
111.6916,1258.002902,11,1.277639
111.844,1264.001964,11,1.312142
111.9964,1259.002359,11,1.280476
112.1488,1262.002325,11,1.296863
112.3012,1259.002214,11,1.277264
112.4536,1259.002214,11,1.275293
112.606,1257.00243,11,1.261915
112.7584,1261.001853,11,1.28422
112.9108,1261.002288,11,1.282266
113.0632,1262.0016,11,1.28684
113.2156,1259.002649,11,1.267225
113.368,1261.002433,11,1.277595
113.5204,1262.00218,11,1.281852
113.6728,1261.002288,11,1.274132
113.8252,1261.002288,11,1.272405
113.9776,1262.00247,11,1.276661
114.13,1267.00222,11,1.304739
114.2824,1264.002544,11,1.285662
114.4348,1263.002217,11,1.277826
114.5872,1259.002649,11,1.252607
114.7396,1263.001782,11,1.274423
114.892,1264.002254,11,1.278751
115.0444,1266.002763,11,1.288861
